year,ku,kun,status,name,party,party_code,previous,wl,voteshare,age,nocand,rank,vote,eligible,turnout,exp,expm,vs,exppv,smd,party_jpn
2000,nara,2,新人,"ITO, MASAAKIA",JCP,2,0,落選,15.8,58,4,3,26546,294417,59.1,2452615,2.452615,0.158,8.330412306354592,落選,共産党
2000,nara,2,新人,"OKAI, YASUHIRO",jiyu-rengo,10,0,落選,3.8,42,4,4,6418,294417,59.1,4718645,4.718645,0.038,16.027080637327327,落選,自由連合
2000,nara,3,現職,"OKUNO, SEISUKE",LDP,1,13,当選,42.1,86,4,1,68695,282425,60.8,15783145,15.783145,0.42100000000000004,55.88437638311056,当選,自民党
2000,nara,3,新人,"FUKUOKA, TOMOMI",DPJ,3,0,落選,30.6,44,4,2,50003,282425,60.8,6575041,6.575041,0.306,23.28066212268744,落選,民主党
2000,nara,3,新人,"UEDA, MUNENORI",SDP,9,1,復活当選,14.4,34,4,3,23466,282425,60.8,8133492,8.133492,0.14400000000000002,28.798767814464018,落選,社民党
2000,nara,3,新人,"MASAKI, ATSUSHI",JCP,2,0,落選,13,28,4,4,21201,282425,60.8,1396532,1.396532,0.13,4.9447888820040715,落選,共産党
2000,nara,4,現職,"TANOSE, RYOTARO",LDP,1,3,当選,50.1,56,3,1,93108,277197,68.8,21392202,21.392202,0.501,77.17328109611576,当選,自民党
2000,nara,4,現職,"MAEDA, TAKESHI",DPJ,3,4,落選,43.4,62,3,2,80674,277197,68.8,19848659,19.848659,0.434,71.60488389123981,落選,民主党
2000,nara,4,新人,"TAMURA, MIKIO",JCP,2,0,落選,6.4,47,3,3,11969,277197,68.8,2461569,2.461569,0.064,8.880215153843656,落選,共産党
2000,niigata,1,現職,"YOSHIDA, ROKUZAEMON",LDP,1,2,当選,43.2,60,4,1,98952,390637,60.4,17547644,17.547644,0.43200000000000005,44.92058867951577,当選,自民党
2000,niigata,1,元職,"SEKIYAMA, NOBUYUKI",DPJ,3,4,落選,35.1,66,4,2,80544,390637,60.4,8854328,8.854328,0.35100000000000003,22.666383368702913,落選,民主党
2000,niigata,1,新人,"IWASAKI, SHUNSUKE",SDP,9,0,落選,11.4,63,4,3,26215,390637,60.4,4017171,4.017171,0.114,10.283641846522475,落選,社民党
2000,niigata,1,新人,"KAWAMATA, SACHIO",JCP,2,0,落選,10.3,45,4,4,23581,390637,60.4,3088423,3.088423,0.10300000000000001,7.906120003993477,落選,共産党
2000,niigata,2,新人,"KONDO, MOTOHIKO",independent,99,1,当選,49.1,46,4,1,123811,343250,75.9,11196575,11.196575,0.491,32.61930080116533,当選,無所属
2000,niigata,2,現職,"SAKURAI, SHIN",LDP,1,6,落選,39.7,67,4,2,100220,343250,75.9,17300084,17.300084,0.397,50.40082738528769,落選,自民党
2000,niigata,2,新人,"MURAYAMA, FUMIHIKO",JCP,2,0,落選,9.6,65,4,3,24172,343250,75.9,1439922,1.439922,0.096,4.194965768390386,落選,共産党
2000,niigata,2,新人,"KAWAHARA, ISAMU",independent,99,0,落選,1.6,61,4,4,4009,343250,75.9,1206022,1.206022,0.016,3.513538237436271,落選,無所属
2000,niigata,3,現職,"INABA, YAMATO",LDP,1,3,当選,51.2,56,4,1,111819,328259,68.7,7914302,7.914302,0.512,24.109931487027012,当選,自民党
2000,niigata,3,元職,"SHIRASAWA, SABURO",LP,18,1,落選,26.3,59,4,2,57409,328259,68.7,9689183,9.689183,0.263,29.51688453324966,落選,自由党
2000,niigata,3,新人,"KURAMOCHI, HACHIRO",SDP,9,0,落選,15.7,57,4,3,34320,328259,68.7,8521941,8.521941,0.157,25.961027725058567,落選,社民党
2000,niigata,3,新人,"INAGAKI, KEIZO",JCP,2,0,落選,6.9,63,4,4,15045,328259,68.7,2059295,2.059295,0.069,6.273384735833595,落選,共産党
2000,niigata,4,現職,"KURIHARA, HIROHISA",LDP,1,3,当選,33.2,53,4,1,72604,318199,70.3,11894875,11.894875,0.332,37.38187423593412,当選,自民党
2000,niigata,4,新人,"KIKUTA, MAKIKO",LP,18,0,落選,32,30,4,2,69910,318199,70.3,11707897,11.707897000000001,0.32,36.79426082420121,落選,自由党
2000,niigata,4,現職,"SAKAGAMI, TOMIO",DPJ,3,3,落選,26.5,73,4,3,58008,318199,70.3,11121852,11.121852,0.265,34.952504564753504,落選,民主党
2000,niigata,4,新人,"MUTO, MOTOMI",JCP,2,0,落選,8.3,43,4,4,18069,318199,70.3,1647128,1.647128,0.083,5.176408473942407,落選,共産党
2000,niigata,5,現職,"TANAKA, MAKIKO",LDP,1,3,当選,68.6,56,3,1,137866,285130,72.8,6065761,6.065761,0.6859999999999999,21.273668151369552,当選,自民党
2000,niigata,5,元職,"MEGURO, KICHINOSUKE",SDP,9,1,落選,25,66,3,2,50208,285130,72.8,4279914,4.279914,0.25,15.01039525830323,落選,社民党
2000,niigata,5,新人,"KATO, EIJI",JCP,2,0,落選,6.4,69,3,3,12827,285130,72.8,3689685,3.689685,0.064,12.940360537298776,落選,共産党
2000,niigata,6,元職,"TSUTSUI, NOBUTAKA",DPJ,3,2,当選,49.3,55,3,1,119734,307175,80.3,7653946,7.653946,0.493,24.917216570358917,当選,民主党
2000,niigata,6,現職,"SHIRAKAWA, KATSUHIKO",LDP,1,6,落選,47.1,55,3,2,114404,307175,80.3,9747697,9.747697,0.47100000000000003,31.73336697322373,落選,自民党
2000,niigata,6,新人,"ABE, MASAYOSHI",JCP,2,0,落選,3.7,55,3,3,8935,307175,80.3,2361916,2.361916,0.037000000000000005,7.689154390819565,落選,共産党
2000,oita,1,新人,"KUGIMIYA, BAN",DPJ,3,1,当選,47,52,4,1,96223,308414,67.5,14033060,14.03306,0.47,45.500723054076666,当選,民主党
2000,oita,1,現職,"ETO, SEIICHIB",LDP,1,3,落選,46,52,4,2,94094,308414,67.5,13567093,13.567093,0.46,43.98987400053175,落選,自民党
2000,oita,1,新人,"DOI, MASAMI",JCP,2,0,落選,5.9,60,4,3,12073,308414,67.5,2689467,2.689467,0.059000000000000004,8.720314252919776,落選,共産党
2000,oita,1,新人,"KAMEYAMA, NORIAKI",independent,99,0,落選,1.1,37,4,4,2252,308414,67.5,5880,0.00588,0.011000000000000001,0.019065282380177295,落選,無所属
2000,oita,2,現職,"ETO, SEISHIRO",LDP,1,5,当選,54.6,59,4,1,92242,229187,75.1,12989003,12.989003,0.546,56.67425726590077,当選,自民党
2000,oita,2,新人,"SHIGENO, YASUMASA",SDP,9,1,復活当選,41.2,58,4,2,69532,229187,75.1,11901314,11.901314,0.41200000000000003,51.92839908022707,落選,社民党
2000,oita,2,新人,"BUSSAKA, KENJI",JCP,2,0,落選,3,53,4,3,5034,229187,75.1,775682,0.775682,0.03,3.384493884906212,落選,共産党
2000,oita,2,新人,"ISHIKAWA, AKEMIA",jiyu-rengo,10,0,落選,1.2,47,4,4,2003,229187,75.1,5107565,5.107565,0.012,22.28557902498833,落選,自由連合
2000,oita,3,元職,"IWAYA, TAKESHI",LDP,1,2,当選,60.3,42,4,1,95046,223504,72.4,8392286,8.392286,0.603,37.54870606342616,当選,自民党
2000,oita,3,新人,"NAKAMURA, TARO",DPJ,3,0,落選,31.7,60,4,2,50024,223504,72.4,12049312,12.049312,0.317,53.91094566540196,落選,民主党
2000,oita,3,新人,"OGAWA, TSUTOMU",JCP,2,0,落選,6.4,53,4,3,10057,223504,72.4,971849,0.971849,0.064,4.348239852530604,落選,共産党
2000,oita,3,新人,"UMEKI, TSUNEAKI",jiyu-rengo,10,0,落選,1.6,66,4,4,2470,223504,72.4,4203052,4.203052,0.016,18.80526523015248,落選,自由連合
2000,oita,4,現職,"YOKOMITSU, KATSUHIKO",SDP,9,2,当選,49.8,56,4,1,84165,220350,77.9,13274183,13.274183,0.498,60.241356932153394,当選,社民党
2000,oita,4,新人,"SATO, REN",LDP,1,0,落選,46.4,48,4,2,78468,220350,77.9,19144410,19.14441,0.46399999999999997,86.88182437031995,落選,自民党
2000,oita,4,新人,"MIKEDA, MITOSHI",JCP,2,0,落選,3.1,58,4,3,5195,220350,77.9,630624,0.630624,0.031,2.861919673247107,落選,共産党
2000,oita,4,新人,"OZAKI, HIDEYUKI",jiyu-rengo,10,0,落選,0.7,64,4,4,1144,220350,77.9,6125496,6.125496,0.006999999999999999,27.798938053097345,落選,自由連合
2000,okayama,1,現職,"AISAWA, ICHIRO",LDP,1,4,当選,57.3,46,3,1,105253,327922,58.7,16026588,16.026588,0.573,48.87317105897134,当選,自民党
2000,okayama,1,新人,"KAWADA, HIDEMASA",DPJ,3,0,落選,32.5,53,3,2,59634,327922,58.7,5785126,5.785126,0.325,17.641774568342473,落選,民主党
2000,okayama,1,新人,"KAKIUCHI, YUICHI",JCP,2,0,落選,10.2,35,3,3,18743,327922,58.7,2269224,2.269224,0.102,6.9200114661413386,落選,共産党
2000,okayama,2,現職,"KUMASHIRO, AKIHIKO",LDP,1,3,当選,51.3,60,4,1,85514,281052,61.5,17279497,17.279497,0.513,61.481494527703056,当選,自民党
2000,okayama,2,現職,"NAKAGIRI, SHINGO",DPJ,3,1,落選,30.1,57,4,2,50187,281052,61.5,8214539,8.214539,0.301,29.227826167399627,落選,民主党
2000,okayama,2,新人,"OZAKI, HIROKO",JCP,2,0,落選,12.3,43,4,3,20500,281052,61.5,2285059,2.285059,0.12300000000000001,8.130378008340093,落選,共産党
2000,okayama,2,新人,"MATSUMOTO, YASUMASA",SDP,9,0,落選,6.3,70,4,4,10477,281052,61.5,4676837,4.676837,0.063,16.64046866771985,落選,社民党
2000,okayama,3,現職,"HIRANUMA, TAKEO",LDP,1,7,当選,64.1,60,3,1,126003,301061,67.5,15779513,15.779513,0.6409999999999999,52.413009323691874,当選,自民党
2000,okayama,3,新人,"TARUI, YOSHIKAZU",DPJ,3,0,落選,28,32,3,2,54994,301061,67.5,6673913,6.673913,0.28,22.167975925144738,落選,民主党
2000,okayama,3,新人,"MIIMI, YOSHIAKI",JCP,2,0,落選,8,43,3,3,15658,301061,67.5,1292953,1.292953,0.08,4.2946545716648785,落選,共産党
2000,okayama,4,現職,"HASHIMOTO, RYUTARO",LDP,1,13,当選,65.6,62,3,1,128888,347199,58.1,9036781,9.036781,0.6559999999999999,26.027670010570308,当選,自民党
2000,okayama,4,新人,"KUMAGAI, HIROTO",DPJ,3,0,落選,23.7,38,3,2,46484,347199,58.1,11856231,11.856231,0.237,34.14822911356312,落選,民主党
2000,okayama,4,新人,"AKASAKA, TERUTO",JCP,2,0,落選,10.7,46,3,3,21091,347199,58.1,2344045,2.344045,0.107,6.751301127019375,落選,共産党
2000,okayama,5,現職,"MURATA, YOSHITAKA",LDP,1,4,当選,62.4,55,3,1,116206,294189,65.2,14253092,14.253092,0.624,48.44875913103481,当選,自民党
2000,okayama,5,新人,"HATA, TOMOKO",DPJ,3,0,落選,30.8,33,3,2,57368,294189,65.2,7015407,7.015407,0.308,23.846598615175957,落選,民主党
2000,okayama,5,新人,"KUNISUE, YOSHIO",JCP,2,0,落選,6.8,51,3,3,12745,294189,65.2,2110829,2.110829,0.068,7.175077926095129,落選,共産党
2000,okinawa,1,現職,"SHIRAHO, TAIICHI",CGP,5,2,当選,52.6,57,3,1,86255,302515,57.2,20152144,20.152144,0.526,66.61535461051518,当選,公明党
2000,okinawa,1,新人,"AKAMINE, SEIKEN",JCP,2,0,復活当選,30.9,52,3,2,50709,302515,57.2,11006874,11.006874,0.309,36.38455613771218,落選,共産党
2000,okinawa,1,新人,"MAEDA, KIYOTAKA",jiyu-rengo,10,0,落選,16.6,47,3,3,27168,302515,57.2,13633013,13.633013,0.166,45.06557691354148,落選,自由連合
2000,okinawa,2,現職,"NAKAMURA, SEIJI",LDP,1,5,当選,49.3,68,4,1,88544,323632,56.7,21504682,21.504682,0.493,66.44794705097148,当選,自民党
2000,okinawa,2,新人,"SHIMAJIRI, NOBORU",DPJ,3,0,落選,17.3,42,4,2,30970,323632,56.7,9355086,9.355086,0.17300000000000001,28.90655435803629,落選,民主党
2000,okinawa,2,新人,"KINJO, HIROSHI",jiyu-rengo,10,0,落選,17.2,52,4,3,30946,323632,56.7,10262781,10.262781,0.172,31.711267736194195,落選,自由連合
2000,okinawa,2,新人,"NAKANISHI, TSUNEO",JCP,2,0,落選,16.2,56,4,4,29039,323632,56.7,8095555,8.095555,0.162,25.014692613832995,落選,共産党
2000,okinawa,3,新人,"TOMON, MITSUKO",SDP,9,1,当選,32.2,57,5,1,68378,336884,64.1,2566190,2.56619,0.322,7.617429144750122,当選,社民党
2000,okinawa,3,新人,"NISHIDA, KENJIRO",mushozokuno,98,0,落選,24.5,56,5,2,52089,336884,64.1,20999553,20.999553,0.245,62.33467009415704,落選,無所属の会
2000,okinawa,3,現職,"KAKAZU, CHIKEN",LDP,1,2,復活当選,22.9,59,5,3,48622,336884,64.1,7393110,7.39311,0.22899999999999998,21.94556583274955,落選,自民党
2000,okinawa,3,現職,"UEHARA, KOSUKE",DPJ,3,10,落選,15.5,67,5,4,32917,336884,64.1,8403591,8.403591,0.155,24.945058239631447,落選,民主党
2000,okinawa,3,新人,"FURUGEN, MUNEYOSHI",JCP,2,0,落選,4.9,48,5,5,10431,336884,64.1,3223507,3.223507,0.049,9.568596312083685,落選,共産党
2000,osaka,1,現職,"CHUMA, KOKI",LDP,1,6,当選,50.2,63,4,1,87068,340864,52.8,15828264,15.828264,0.502,46.43571629740894,当選,自民党
2000,osaka,1,新人,"KONISHI, TOSHIHIRO",DPJ,3,0,落選,23.9,56,4,2,41431,340864,52.8,6240242,6.240242,0.239,18.30713128989861,落選,民主党
2000,osaka,1,新人,"OBATA, TSUTOMU",JCP,2,0,落選,22.2,58,4,3,38543,340864,52.8,2955892,2.955892,0.222,8.671763518588058,落選,共産党
2000,osaka,1,新人,"HASHIBA, SEIZOHIDEYOSHI",independent,99,0,落選,3.7,50,4,4,6347,340864,52.8,6629806,6.629806,0.037000000000000005,19.45000352046564,落選,無所属
2000,osaka,2,新人,"SATO, AKIRA",LDP,1,1,当選,47.5,48,4,1,90470,353027,55.9,11363515,11.363515,0.475,32.18879859047608,当選,自民党
2000,osaka,2,現職,"ISHII, IKUKO",JCP,2,3,復活当選,29.5,59,4,2,56152,353027,55.9,3616010,3.61601,0.295,10.242870941882632,落選,共産党
2000,osaka,2,新人,"INABA, MASAKAZU",DPJ,3,0,落選,20.1,48,4,3,38177,353027,55.9,5281353,5.281353,0.201,14.960195679084036,落選,民主党
2000,osaka,2,新人,"FUKUDA, KO",jiyu-rengo,10,0,落選,2.9,44,4,4,5586,353027,55.9,4438188,4.438188,0.028999999999999998,12.571808955122412,落選,自由連合
2000,osaka,3,現職,"TABATA, MASAHIRO",CGP,5,3,当選,46.1,60,3,1,90605,403200,52.9,20789773,20.789773,0.461,51.561937003968254,当選,公明党
2000,osaka,3,新人,"KOBAYASHI, MIEKO",JCP,2,0,落選,37.7,41,3,2,74055,403200,52.9,2995494,2.995494,0.377,7.429300595238095,落選,共産党
2000,osaka,3,新人,"HASEGAWA, KEIKO",jiyu-rengo,10,0,落選,16.2,42,3,3,31898,403200,52.9,5138096,5.138096,0.162,12.743293650793651,落選,自由連合
2000,osaka,4,現職,"NAKAYAMA, MASAAKI",LDP,1,11,当選,30.7,68,5,1,63290,378877,55.9,17952033,17.952033,0.307,47.38221903150627,当選,自民党
2000,osaka,4,現職,"YOSHIDA, OSAMU",DPJ,3,2,落選,26.2,38,5,2,54038,378877,55.9,12171940,12.17194,0.262,32.126362909334695,落選,民主党
2000,osaka,4,新人,"HASEGAWA, YOSHIO",JCP,2,0,落選,17.9,50,5,3,36804,378877,55.9,3240857,3.240857,0.179,8.553849930188425,落選,共産党
2000,osaka,4,現職,"MAEDA, TADASHI",others,100,2,落選,16.7,53,5,4,34476,378877,55.9,6686208,6.686208,0.16699999999999998,17.647437031015343,落選,その他
2000,osaka,4,新人,"MURAKAMI, FUMIYOSHI",LP,18,0,落選,8.5,48,5,5,17450,378877,55.9,6059482,6.059482,0.085,15.993269583532387,落選,自由党
2000,osaka,5,現職,"TANIGUCHI, TAKAYOSHI",CGP,5,3,当選,37.3,51,4,1,79018,397400,55.2,11765879,11.765879,0.373,29.607143935581277,当選,公明党
2000,osaka,5,新人,"INAMI, TETSUO",DPJ,3,0,落選,31.5,51,4,2,66679,397400,55.2,12862333,12.862333,0.315,32.36621288374434,落選,民主党
2000,osaka,5,現職,"HIGASHINAKA, MITSUO",JCP,2,10,落選,26.1,75,4,3,55225,397400,55.2,4317814,4.317814,0.261,10.86515853044791,落選,共産党
2000,osaka,5,新人,"INOUE, TAKUMA",jiyu-rengo,10,0,落選,5.2,26,4,4,11021,397400,55.2,6203211,6.203211,0.052000000000000005,15.609489179667841,落選,自由連合
2000,osaka,6,現職,"FUKUSHIMA, YUTAKA",CGP,5,2,当選,49.7,42,3,1,96432,392258,53.7,12322226,12.322226,0.49700000000000005,31.413574739074793,当選,公明党
2000,osaka,6,新人,"YANAGASE, TADASHI",JCP,2,0,落選,34.1,68,3,2,66268,392258,53.7,4604270,4.60427,0.341,11.737861305569293,落選,共産党
2000,osaka,6,新人,"IKEDA, HIROYUKI",jiyu-rengo,10,0,落選,16.2,44,3,3,31354,392258,53.7,3831966,3.831966,0.162,9.768993876479255,落選,自由連合
2000,osaka,7,現職,"FUJIMURA, OSAMU",DPJ,3,2,当選,34.1,50,4,1,63455,339052,56.6,12642613,12.642613,0.341,37.28812394558947,当選,民主党
2000,osaka,7,現職,"INOUE, ISSEI",CP,30,8,落選,28.1,68,4,2,52210,339052,56.6,7918045,7.918045,0.281,23.35348265162866,落選,保守党
2000,osaka,7,新人,"FUJII, SACHIKO",JCP,2,0,落選,22.4,52,4,3,41727,339052,56.6,4158882,4.158882,0.22399999999999998,12.266206953505657,落選,共産党
2000,osaka,7,新人,"ARISAWA, SHIRO",independent,99,0,落選,15.4,50,4,4,28712,339052,56.6,5596747,5.596747,0.154,16.50704611681984,落選,無所属
2000,osaka,8,現職,"NAKANO, KANSEI",DPJ,3,9,当選,48.4,59,4,1,83566,315805,56.4,10502309,10.502309,0.484,33.255676762559176,当選,民主党
2000,osaka,8,新人,"KAMISE, TAKESHI",LDP,1,0,落選,31.8,30,4,2,54859,315805,56.4,12073352,12.073352,0.318,38.2304016719178,落選,自民党
2000,osaka,8,新人,"HIMEI, KEIJI",JCP,2,0,落選,17.2,65,4,3,29649,315805,56.4,2957383,2.957383,0.172,9.364585741201058,落選,共産党
2000,osaka,8,新人,"KIKUCHI, MASAYUKI",jiyu-rengo,10,0,落選,2.6,40,4,4,4573,315805,56.4,2380462,2.380462,0.026000000000000002,7.537759060179541,落選,自由連合
2000,osaka,9,新人,"OTANI, NOBUMORI",DPJ,3,1,当選,36.5,37,6,1,82563,414592,56.5,8938982,8.938982,0.365,21.56091289749923,当選,民主党
2000,osaka,9,現職,"NISHIDA, TAKESHI",CP,30,1,落選,29,44,6,2,65469,414592,56.5,12433341,12.433341,0.29,29.989341328342082,落選,保守党
2000,osaka,9,新人,"FUJIKI, KUNIAKI",JCP,2,0,落選,16.9,42,6,3,38262,414592,56.5,3984158,3.984158,0.16899999999999998,9.609828457857363,落選,共産党
2000,osaka,9,新人,"KIMOTO, YASUHIRA",independent,99,0,落選,10.2,56,6,4,23071,414592,56.5,NA,NA,0.102,NA,落選,無所属
2000,osaka,9,新人,"MATSUSHITA, YOICHI",independent,99,0,落選,3.8,63,6,5,8619,414592,56.5,3411183,3.411183,0.038,8.22780709709787,落選,無所属
2000,osaka,9,新人,"WADA, TOSHI",jiyu-rengo,10,0,落選,3.6,48,6,6,8039,414592,56.5,2230000,2.23,0.036000000000000004,5.378782031491201,落選,自由連合
2000,osaka,10,現職,"TSUJIMOTO, KIYOMI",SDP,9,2,当選,29.7,40,5,1,55839,312501,62,9765616,9.765616,0.297,31.24987120041216,当選,社民党
2000,osaka,10,現職,"ISHIGAKI, KAZUO",CGP,5,1,落選,29.3,68,5,2,55108,312501,62,10001117,10.001117,0.293,32.003471988889636,落選,公明党
2000,osaka,10,現職,"HIDA, MIYOKO",DPJ,3,2,復活当選,28,59,5,3,52598,312501,62,12135978,12.135978,0.28,38.83500532798295,落選,民主党
2000,osaka,10,新人,"OMINE, MANABU",JCP,2,0,落選,11.7,34,5,4,21957,312501,62,3259250,3.25925,0.11699999999999999,10.4295666253868,落選,共産党
2000,osaka,10,新人,"TAKAYA, HITOSHI",independent,99,0,落選,1.3,42,5,5,2489,312501,62,56908,0.056908,0.013000000000000001,0.18210501726394476,落選,無所属
2000,osaka,11,現職,"HIRANO, HIROFUMI",DPJ,3,2,当選,55.5,51,3,1,120895,376504,59.8,22819709,22.819709,0.555,60.60947294052653,当選,民主党
2000,osaka,11,新人,"TSUBOI, KAZUTAKA",LDP,1,0,落選,27.4,60,3,2,59803,376504,59.8,NA,NA,0.27399999999999997,NA,落選,自民党
2000,osaka,11,新人,"YAMASHITA, KYOKO",JCP,2,0,落選,17.1,46,3,3,37255,376504,59.8,3868225,3.868225,0.171,10.27406083335104,落選,共産党
2000,osaka,12,現職,"TARUTOKO, SHINJI",DPJ,3,3,当選,38.7,40,4,1,72393,345754,55.6,6105846,6.105846,0.387,17.659509362147656,当選,民主党
2000,osaka,12,新人,"KITAGAWA, TOMOKATSU",LDP,1,0,落選,36.8,48,4,2,68773,345754,55.6,20944129,20.944129,0.368,60.57523267988223,落選,自民党
2000,osaka,12,新人,"NISHIMORI, YOICHI",JCP,2,0,落選,15.8,51,4,3,29623,345754,55.6,3371410,3.37141,0.158,9.750892252873431,落選,共産党
2000,osaka,12,新人,"MANABE, TERUSHIGE",LP,18,0,落選,8.7,29,4,4,16178,345754,55.6,11754859,11.754859,0.087,33.997752737495446,落選,自由党
2000,osaka,13,元職,"SHIOKAWA, MASAJURO",LDP,1,11,当選,53.3,78,4,1,109614,401415,53,16254015,16.254015,0.5329999999999999,40.49179776540488,当選,自民党
2000,osaka,13,現職,"YOSHII, HIDEKATSU",JCP,2,4,復活当選,26.8,57,4,2,55096,401415,53,3861807,3.861807,0.268,9.620485034191548,落選,共産党
2000,osaka,13,新人,"OKAMOTO, JUNICHIRO",DPJ,3,0,落選,17.4,28,4,3,35759,401415,53,7763846,7.763846,0.174,19.341195520845012,落選,民主党
2000,osaka,13,新人,"SATO, YOSHIOC",jiyu-rengo,10,0,落選,2.5,57,4,4,5115,401415,53,2702425,2.702425,0.025,6.732247175616258,落選,自由連合
2000,osaka,14,現職,"TANIHATA, TAKASHI",LDP,1,2,当選,46.7,53,4,1,105624,423224,55.6,9811339,9.811339,0.467,23.18237859856719,当選,自民党
2000,osaka,14,現職,"YAMAMOTO, TAKASHI",DPJ,3,2,落選,29.9,50,4,2,67599,423224,55.6,8960440,8.96044,0.299,21.17186170916583,落選,民主党
2000,osaka,14,新人,"NOZAWA, MICHIAKI",JCP,2,0,落選,20.1,52,4,3,45471,423224,55.6,3914343,3.914343,0.201,9.24886821163261,落選,共産党
2000,osaka,14,新人,"KOZURU, YUKI",jiyu-rengo,10,0,落選,3.4,51,4,4,7606,423224,55.6,5786123,5.786123,0.034,13.671538003515868,落選,自由連合
2000,osaka,15,現職,"TAKEMOTO, NAOKAZU",LDP,1,2,当選,46.7,59,4,1,100028,402690,55.6,9888240,9.88824,0.467,24.555464501229235,当選,自民党
2000,osaka,15,新人,"AIDA, ISAO",DPJ,3,0,落選,28.3,40,4,2,60539,402690,55.6,3469416,3.469416,0.28300000000000003,8.615600089398793,落選,民主党
2000,osaka,15,新人,"KAKINUMA, YASUTAKA",JCP,2,0,落選,21,65,4,3,44898,402690,55.6,2913961,2.913961,0.21,7.236238794109613,落選,共産党
2000,osaka,15,新人,"YAMAGUCHI, MASASHI",jiyu-rengo,10,0,落選,4,46,4,4,8599,402690,55.6,5694857,5.694857,0.04,14.142037299163128,落選,自由連合
2000,osaka,16,現職,"KITAGAWA, KAZUO",CGP,5,4,当選,39.1,47,3,1,64150,311204,55.6,11576237,11.576237,0.391,37.19822688654387,当選,公明党
2000,osaka,16,新人,"MASAGO, TAIZO",independent,99,0,落選,31.1,64,3,2,51055,311204,55.6,9678089,9.678089,0.311,31.09885798383054,落選,無所属
2000,osaka,16,新人,"SUGANO, TAISUKE",JCP,2,0,落選,29.8,59,3,3,48815,311204,55.6,2290363,2.290363,0.298,7.359683680158352,落選,共産党
2000,osaka,17,新人,"OKASHITA, NOBUKO",LDP,1,1,当選,23.5,60,6,1,41781,321390,57.2,13401826,13.401826,0.235,41.699573726624976,当選,自民党
2000,osaka,17,新人,"MANABE, YUTAKA",JCP,2,0,落選,20.7,48,6,2,36834,321390,57.2,5264893,5.264893,0.207,16.38163290705996,落選,共産党
2000,osaka,17,新人,"ODACHI, MOTOYUKI",DPJ,3,0,落選,18.8,36,6,3,33392,321390,57.2,10220650,10.22065,0.188,31.801393945051185,落選,民主党
2000,osaka,17,現職,"NISHIMURA, SHINGO",LP,18,3,復活当選,15.9,51,6,4,28345,321390,57.2,22025120,22.02512,0.159,68.53081925386601,落選,自由党
2000,osaka,17,新人,"HIRATA, TAKAAKI",independent,99,0,落選,15.9,50,6,5,28184,321390,57.2,8173717,8.173717,0.159,25.432393665017578,落選,無所属
2000,osaka,17,新人,"NAKAKITA, RYUTARO",SDP,9,0,落選,5.2,53,6,6,9190,321390,57.2,5925857,5.925857,0.052000000000000005,18.438212141012478,落選,社民党
2000,osaka,18,現職,"NAKAYAMA, TARO",LDP,1,5,当選,47.5,75,4,1,103402,408506,55.4,16789578,16.789578,0.475,41.09995446823302,当選,自民党
2000,osaka,18,新人,"KITA, MAKOTO",DPJ,3,0,落選,29.5,27,4,2,64259,408506,55.4,7213348,7.213348,0.295,17.657875282125598,落選,民主党
2000,osaka,18,新人,"FURUKUBO, NOBUO",JCP,2,0,落選,19.6,66,4,3,42750,408506,55.4,3758915,3.758915,0.196,9.201615153755391,落選,共産党
2000,osaka,18,新人,"OKITSU, SHINOBU",jiyu-rengo,10,0,落選,3.4,30,4,4,7402,408506,55.4,4834928,4.834928,0.034,11.835635217108194,落選,自由連合
2000,osaka,19,現職,"MATSUNAMI, KENSHIRO",CP,30,2,当選,53.1,53,4,1,81641,295298,53.9,5246033,5.246033,0.531,17.765216831810577,当選,保守党
2000,osaka,19,新人,"ISHIDA, TOSHITAKA",DPJ,3,0,落選,30.5,35,4,2,46911,295298,53.9,8913819,8.913819,0.305,30.185842775772272,落選,民主党
2000,osaka,19,新人,"NISHIYAMA, TAKASHI",JCP,2,0,落選,15.2,51,4,3,23322,295298,53.9,3773089,3.773089,0.152,12.777225040467595,落選,共産党
2000,osaka,19,新人,"YAMAGUCHI, YASUO",independent,99,0,落選,1.2,50,4,4,1845,295298,53.9,1000000,1,0.012,3.38640966074948,落選,無所属
2000,saga,1,現職,"SAKAI, TAKANORI",LDP,1,4,当選,40.8,52,5,1,70155,256350,68.5,15977741,15.977741,0.408,62.3278369416813,当選,自民党
2000,saga,1,現職,"HARAGUCHI, KAZUHIRO",DPJ,3,2,復活当選,36.6,40,5,2,62932,256350,68.5,6286671,6.286671,0.366,24.52377998829725,落選,民主党
2000,saga,1,元職,"OGATA, KATSUYO",SDP,9,3,落選,17.5,62,5,3,30018,256350,68.5,6539170,6.53917,0.175,25.508757558026137,落選,社民党
2000,saga,1,新人,"KAMIMURA, YASUTOSHI",JCP,2,0,落選,4.2,35,5,4,7173,256350,68.5,556161,0.556161,0.042,2.1695377413692216,落選,共産党
2000,saga,1,新人,"NAGAI, TAKASHI",jiyu-rengo,10,0,落選,0.9,50,5,5,1612,256350,68.5,2687013,2.687013,0.009000000000000001,10.481813926272673,落選,自由連合
2000,saga,2,現職,"IMAMURA, MASAHIRO",LDP,1,2,当選,62,53,5,1,87240,214540,68.1,14452613,14.452613,0.62,67.36558683695348,当選,自民党
